,Emotions,Folder,Filename,Sample_Rate,Num_Frames,Duration
0,neutral,actor_16,/03-01-02-01-02-16-03-03-01.wav,16000,44305,2.7690625
1,angry,actor_16,/03-01-05-02-07-16-03-03-01.wav,16000,96922,6.057625
2,neutral,actor_16,/03-01-02-01-13-16-03-03-01.wav,16000,58396,3.64975
3,neutral,actor_16,/03-01-02-01-05-16-03-03-01.wav,16000,13794,0.862125
4,angry,actor_16,/03-01-05-02-06-16-03-03-01.wav,16000,49738,3.108625
5,sad,actor_16,/03-01-04-01-05-16-03-03-01.wav,16000,99429,6.2143125
6,angry,actor_16,/03-01-05-02-09-16-03-03-01.wav,16000,60850,3.803125
7,neutral,actor_16,/03-01-02-01-04-16-03-03-01.wav,16000,36364,2.27275
8,sad,actor_16,/03-01-04-01-02-16-03-03-01.wav,16000,174708,10.91925
9,angry,actor_16,/03-01-05-01-03-16-03-03-01.wav,16000,175104,10.944
10,neutral,actor_16,/03-01-02-01-06-16-03-03-01.wav,16000,21419,1.3386875
11,neutral,actor_16,/03-01-02-01-01-16-03-03-01.wav,16000,15048,0.9405
12,sad,actor_16,/03-01-04-01-02-16-03-03-01-01.wav,16000,182592,11.412
13,sad,actor_16,/03-01-04-01-01-16-03-03-01.wav,16000,174708,10.91925
14,sad,actor_16,/03-01-04-01-02-16-03-03-01-03.wav,16000,97249,6.0780625
15,sad,actor_16,/03-01-04-01-01-16-03-03-01-02.wav,16000,62695,3.9184375
16,neutral,actor_16,/03-01-02-01-07-16-03-03-01.wav,16000,20480,1.28
17,happy,actor_29,/03-01-03-01-43-29-02-01-02.wav,16000,44312,2.7695
18,sad,actor_29,/03-01-04-01-22-29-02-01-02-02.wav,16000,174708,10.91925
19,happy,actor_29,/03-01-03-01-12-29-02-01-02.wav,16000,41643,2.6026875
20,sad,actor_29,/03-01-04-01-22-29-02-01-02-04.wav,16000,174708,10.91925
21,angry,actor_29,/03-01-05-01-30-29-02-01-02.wav,16000,35770,2.235625
22,angry,actor_29,/03-01-05-01-03-29-02-01-02.wav,16000,32566,2.035375
23,happy,actor_29,/03-01-03-01-14-29-02-01-02.wav,16000,24025,1.5015625
24,angry,actor_29,/03-01-05-01-15-29-02-01-02.wav,16000,18153,1.1345625
25,angry,actor_29,/03-01-05-01-31-29-02-01-02.wav,16000,27762,1.735125
26,neutral,actor_29,/03-01-02-01-18-29-02-01-02.wav,16000,31499,1.9686875
27,angry,actor_29,/03-01-05-01-20-29-02-01-02.wav,16000,21309,1.3318125
28,angry,actor_29,/03-01-05-01-18-29-02-01-02.wav,16000,51786,3.236625
29,disgust,actor_29,/03-01-07-01-17-29-02-01-02.wav,16000,18687,1.1679375
30,happy,actor_29,/03-01-03-01-11-29-02-01-02.wav,16000,78480,4.905
31,sad,actor_29,/03-01-04-01-20-29-02-01-02-03.wav,16000,174708,10.91925
32,sad,actor_29,/03-01-04-01-20-29-02-01-02-07.wav,16000,54459,3.4036875
33,excited,actor_29,/03-01-09-01-10-29-02-01-02.wav,16000,28830,1.801875
34,happy,actor_29,/03-01-03-01-17-29-02-01-02.wav,16000,46448,2.903
35,sad,actor_29,/03-01-04-01-20-29-02-01-02.wav,16000,174708,10.91925
36,boredom,actor_29,/03-01-01-01-22-29-02-01-02.wav,16000,142525,8.9078125
37,sad,actor_29,/03-01-04-01-20-29-02-01-02-06.wav,16000,92987,5.8116875
38,neutral,actor_29,/03-01-02-01-02-29-02-03-01.wav,16000,44305,2.7690625
39,sad,actor_29,/03-01-04-01-20-29-02-01-02-04.wav,16000,121983,7.6239375
40,angry,actor_29,/03-01-05-01-16-29-02-01-02.wav,16000,41109,2.5693125
41,sad,actor_29,/03-01-04-01-20-29-02-01-02-05.wav,16000,139072,8.692
42,angry,actor_11,/03-01-05-01-01-11-02-03-01.wav,16000,101983,6.3739375
43,surprised,actor_11,/03-01-08-02-04-11-02-03-01.wav,16000,46395,2.8996875
44,angry,actor_11,/03-01-05-02-01-11-02-03-01.wav,16000,133748,8.35925
45,neutral,actor_11,/03-01-02-01-02-11-02-03-01.wav,16000,38453,2.4033125
46,surprised,actor_11,/03-01-08-02-05-11-02-03-01.wav,16000,76070,4.754375
47,happy,actor_11,/03-01-03-02-06-11-02-03-01.wav,16000,155482,9.717625
48,angry,actor_11,/03-01-05-01-05-11-02-03-01.wav,16000,85683,5.3551875
49,surprised,actor_11,/03-01-08-01-08-11-02-03-01.wav,16000,45977,2.8735625
50,angry,actor_11,/03-01-05-02-02-11-02-03-01.wav,16000,61859,3.8661875
51,surprised,actor_11,/03-01-08-02-07-11-02-03-01.wav,16000,38035,2.3771875
52,neutral,actor_11,/03-01-02-01-09-11-02-03-01.wav,16000,30512,1.907
53,angry,actor_11,/03-01-05-01-03-11-02-03-01.wav,16000,87773,5.4858125
54,surprised,actor_11,/03-01-08-01-01-11-02-03-01.wav,16000,62277,3.8923125
55,neutral,actor_11,/03-01-02-01-01-11-02-03-01.wav,16000,53918,3.369875
56,angry,actor_11,/03-01-05-02-03-11-02-03-01.wav,16000,174708,10.91925
57,angry,actor_11,/03-01-05-01-04-11-02-03-01.wav,16000,141689,8.8555625
58,sad,actor_27,/03-01-04-01-03-27-02-02-02-77.wav,16000,46395,2.8996875
59,sad,actor_27,/03-01-04-01-08-27-02-02-02-03.wav,16000,207936,12.996
60,sad,actor_27,/03-01-04-01-03-27-02-02-02-03.wav,16000,46395,2.8996875
61,sad,actor_27,/03-01-04-01-03-27-02-02-02-02.wav,16000,174708,10.91925
62,sad,actor_27,/03-01-04-01-07-27-02-02-02.wav,16000,149195,9.3246875
63,sad,actor_27,/03-01-04-01-03-27-02-02-02-02-77.wav,16000,174708,10.91925
