,Emotions,Path
0,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-02-16-03-03-01.wav
1,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-05-02-07-16-03-03-01.wav
2,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-13-16-03-03-01.wav
3,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-05-16-03-03-01.wav
4,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-05-02-06-16-03-03-01.wav
5,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-05-16-03-03-01.wav
6,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-05-02-09-16-03-03-01.wav
7,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-04-16-03-03-01.wav
8,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-02-16-03-03-01.wav
9,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-05-01-03-16-03-03-01.wav
10,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-06-16-03-03-01.wav
11,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-01-16-03-03-01.wav
12,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-02-16-03-03-01-01.wav
13,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-01-16-03-03-01.wav
14,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-02-16-03-03-01-03.wav
15,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-04-01-01-16-03-03-01-02.wav
16,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_16/03-01-02-01-07-16-03-03-01.wav
17,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-03-01-43-29-02-01-02.wav
18,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-22-29-02-01-02-02.wav
19,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-03-01-12-29-02-01-02.wav
20,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-22-29-02-01-02-04.wav
21,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-30-29-02-01-02.wav
22,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-03-29-02-01-02.wav
23,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-03-01-14-29-02-01-02.wav
24,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-15-29-02-01-02.wav
25,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-31-29-02-01-02.wav
26,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-02-01-18-29-02-01-02.wav
27,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-20-29-02-01-02.wav
28,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-18-29-02-01-02.wav
29,disgust,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-07-01-17-29-02-01-02.wav
30,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-03-01-11-29-02-01-02.wav
31,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02-03.wav
32,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02-07.wav
33,excited,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-09-01-10-29-02-01-02.wav
34,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-03-01-17-29-02-01-02.wav
35,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02.wav
36,boredom,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-01-01-22-29-02-01-02.wav
37,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02-06.wav
38,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-02-01-02-29-02-03-01.wav
39,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02-04.wav
40,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-05-01-16-29-02-01-02.wav
41,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_29/03-01-04-01-20-29-02-01-02-05.wav
42,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-01-01-11-02-03-01.wav
